关卡ID,关卡类型,关卡地图数据,所在章节,前置关卡,关卡开放等级,关卡名称,关卡描述,所需人数,关卡掉落,消耗体力,地图资源,胜利方式,每日次数,怪物等级
57,1,level57,12,56,0,第2关,第2关,1,1|0|900|100#3|0|5|10#5|2103|1|10#5|2104|1|10#5|2105|1|25#5|2106|1|25,5,chapter12_jpg,1|0,9999,57
58,1,level58,12,57,0,第3关,第3关,1,1|0|900|100#3|0|5|10#5|2203|1|10#5|2204|1|10#5|2205|1|25#5|2206|1|25,5,chapter12_jpg,1|0,9999,58
59,1,level59,12,58,0,第4关,第4关,1,1|0|900|100#3|0|5|10#5|2303|1|10#5|2304|1|10#5|2305|1|25#5|2306|1|25,5,chapter12_jpg,1|0,9999,59
60,1,level60,12,59,0,第5关,第5关,1,1|0|900|100#3|0|5|10#5|1002|1|25#5|1003|1|25,5,chapter12_jpg,1|0,9999,60
61,1,level61,13,60,0,第1关,第1关,1,1|0|900|100#3|0|5|10#5|2003|1|10#5|2004|1|10#5|2005|1|25#5|2006|1|25,5,chapter13_jpg,1|0,9999,61
62,1,level62,13,61,0,第2关,第2关,1,1|0|900|100#3|0|5|10#5|2103|1|10#5|2104|1|10#5|2105|1|25#5|2106|1|25,5,chapter13_jpg,1|0,9999,62
63,1,level63,13,62,0,第3关,第3关,1,1|0|900|100#3|0|5|10#5|2203|1|10#5|2204|1|10#5|2205|1|25#5|2206|1|25,5,chapter13_jpg,1|0,9999,63
64,1,level64,13,63,0,第4关,第4关,1,1|0|900|100#3|0|5|10#5|2303|1|10#5|2304|1|10#5|2305|1|25#5|2306|1|25,5,chapter13_jpg,1|0,9999,64
65,1,level65,13,64,0,第5关,第5关,1,1|0|900|100#3|0|5|10#5|1002|1|25#5|1003|1|25,5,chapter13_jpg,1|0,9999,65
66,1,level66,14,65,0,第1关,第1关,1,1|0|900|100#3|0|5|10#5|2003|1|10#5|2004|1|10#5|2005|1|25#5|2006|1|25,5,chapter14_jpg,1|0,9999,66
67,1,level67,14,66,0,第2关,第2关,1,1|0|900|100#3|0|5|10#5|2103|1|10#5|2104|1|10#5|2105|1|25#5|2106|1|25,5,chapter14_jpg,1|0,9999,67
68,1,level68,14,67,0,第3关,第3关,1,1|0|900|100#3|0|5|10#5|2203|1|10#5|2204|1|10#5|2205|1|25#5|2206|1|25,5,chapter14_jpg,1|0,9999,68
69,1,level69,14,68,0,第4关,第4关,1,1|0|900|100#3|0|5|10#5|2303|1|10#5|2304|1|10#5|2305|1|25#5|2306|1|25,5,chapter14_jpg,1|0,9999,69
70,1,level70,14,69,0,第5关,第5关,1,1|0|900|100#3|0|5|10#5|1002|1|25#5|1003|1|25,5,chapter14_jpg,1|0,9999,70
71,1,level71,15,70,0,第1关,第1关,1,1|0|950|100#3|0|5|10#5|2004|1|10#5|2005|1|10#5|2006|1|25#5|2007|1|25,5,chapter15_jpg,1|0,9999,71
72,1,level72,15,71,0,第2关,第2关,1,1|0|950|100#3|0|5|10#5|2104|1|10#5|2105|1|10#5|2106|1|25#5|2107|1|25,5,chapter15_jpg,1|0,9999,72
73,1,level73,15,72,0,第3关,第3关,1,1|0|950|100#3|0|5|10#5|2204|1|10#5|2205|1|10#5|2206|1|25#5|2207|1|25,5,chapter15_jpg,1|0,9999,73
74,1,level74,15,73,0,第4关,第4关,1,1|0|950|100#3|0|5|10#5|2304|1|10#5|2305|1|10#5|2306|1|25#5|2307|1|25,5,chapter15_jpg,1|0,9999,74
75,1,level75,15,74,0,第5关,第5关,1,1|0|950|100#3|0|5|10#5|1002|1|20#5|1003|1|20#5|1004|1|5,5,chapter15_jpg,1|0,9999,75
76,1,level76,16,75,0,第1关,第1关,1,1|0|950|100#3|0|5|10#5|2004|1|10#5|2005|1|10#5|2006|1|25#5|2007|1|25,5,chapter16_jpg,1|0,9999,76
77,1,level77,16,76,0,第2关,第2关,1,1|0|950|100#3|0|5|10#5|2104|1|10#5|2105|1|10#5|2106|1|25#5|2107|1|25,5,chapter16_jpg,1|0,9999,77
78,1,level78,16,77,0,第3关,第3关,1,1|0|950|100#3|0|5|10#5|2204|1|10#5|2205|1|10#5|2206|1|25#5|2207|1|25,5,chapter16_jpg,1|0,9999,78
79,1,level79,16,78,0,第4关,第4关,1,1|0|950|100#3|0|5|10#5|2304|1|10#5|2305|1|10#5|2306|1|25#5|2307|1|25,5,chapter16_jpg,1|0,9999,79
80,1,level80,16,79,0,第5关,第5关,1,1|0|950|100#3|0|5|10#5|1002|1|20#5|1003|1|20#5|1004|1|5,5,chapter16_jpg,1|0,9999,80
81,1,level81,17,80,0,第1关,第1关,1,1|0|1000|100#3|0|5|10#5|2004|1|10#5|2005|1|10#5|2006|1|25#5|2007|1|25,5,chapter17_jpg,1|0,9999,81
82,1,level82,17,81,0,第2关,第2关,1,1|0|1000|100#3|0|5|10#5|2104|1|10#5|2105|1|10#5|2106|1|25#5|2107|1|25,5,chapter17_jpg,1|0,9999,82
83,1,level83,17,82,0,第3关,第3关,1,1|0|1000|100#3|0|5|10#5|2204|1|10#5|2205|1|10#5|2206|1|25#5|2207|1|25,5,chapter17_jpg,1|0,9999,83
84,1,level84,17,83,0,第4关,第4关,1,1|0|1000|100#3|0|5|10#5|2304|1|10#5|2305|1|10#5|2306|1|25#5|2307|1|25,5,chapter17_jpg,1|0,9999,84
85,1,level85,17,84,0,第5关,第5关,1,1|0|1000|100#3|0|5|10#5|1002|1|20#5|1003|1|20#5|1004|1|5,5,chapter17_jpg,1|0,9999,85
86,1,level86,18,85,0,第1关,第1关,1,1|0|1000|100#3|0|5|10#5|2005|1|10#5|2006|1|10#5|2007|1|25#5|2008|1|25,5,chapter18_jpg,1|0,9999,86
87,1,level87,18,86,0,第2关,第2关,1,1|0|1000|100#3|0|5|10#5|2105|1|10#5|2106|1|10#5|2107|1|25#5|2108|1|25,5,chapter18_jpg,1|0,9999,87
88,1,level88,18,87,0,第3关,第3关,1,1|0|1000|100#3|0|5|10#5|2205|1|10#5|2206|1|10#5|2207|1|25#5|2208|1|25,5,chapter18_jpg,1|0,9999,88
89,1,level89,18,88,0,第4关,第4关,1,1|0|1000|100#3|0|5|10#5|2305|1|10#5|2306|1|10#5|2307|1|25#5|2308|1|25,5,chapter18_jpg,1|0,9999,89
90,1,level90,18,89,0,第5关,第5关,1,1|0|1000|100#3|0|5|10#5|1002|1|20#5|1003|1|20#5|1004|1|5,5,chapter18_jpg,1|0,9999,90
1001,2,jingying15,0,0,15,精英副本，掉落装备,掉落白装武器、鞋子,1,1|0|500|100#3|0|10|10#6|1|1|15#6|301|1|20,5,jingying1_jpg,1|0,3,20
1002,2,jingying20,0,0,20,精英副本，掉落装备,掉落白装衣服、头盔,1,1|0|600|100#3|0|10|10#6|101|1|20#6|201|1|20,5,jingying2_jpg,1|0,3,25
1003,2,jingying35,0,0,35,精英副本，掉落装备,掉落绿装武器、鞋子,1,1|0|700|100#3|0|10|10#6|2|1|10#6|3|1|10#6|302|1|20,5,jingying3_jpg,1|0,3,40
1004,2,jingying40,0,0,40,精英副本，掉落装备,掉落绿装衣服、头盔,1,1|0|750|100#3|0|10|10#6|102|1|20#6|202|1|20,5,jingying4_jpg,1|0,3,45
1005,2,jingying55,0,0,55,精英副本，掉落装备,掉落蓝装武器、鞋子,1,1|0|800|100#3|0|10|10#6|4|1|10#6|5|1|10#6|303|1|20,5,jingying5_jpg,1|0,3,60
1006,2,jingying60,0,0,60,精英副本，掉落装备,掉落蓝装衣服、头盔,1,1|0|850|100#3|0|10|10#6|103|1|20#6|203|1|20,5,jingying6_jpg,1|0,3,65
1007,2,jingying75,0,0,75,精英副本，掉落装备,掉落紫装武器、鞋子,1,1|0|900|100#3|0|10|10#6|6|1|10#6|7|1|10#6|304|1|20,5,jingying7_jpg,1|0,3,80
1008,2,jingying80,0,0,80,精英副本，掉落装备,掉落紫装衣服、头盔,1,1|0|950|100#3|0|10|10#6|104|1|20#6|204|1|20,5,jingying8_jpg,1|0,3,85
1009,2,jingying90,0,0,95,精英副本，掉落装备,掉落橙装武器,1,1|0|1000|50#3|0|10|10#6|8|1|5#6|9|1|5#6|10|1|5#6|11|1|5,5,jingying9_jpg,1|0,3,100
2001,3,jinbilevel,0,0,20,金币事件关卡,2个人组队进入战斗,2,1|0|15000|100,0,event1_jpg,1|0,2,5
2002,3,zuanshilevel,0,0,20,钻石事件关卡,2个人组队进入战斗,2,3|0|25|100,0,event2_jpg,1|0,2,5
2003,3,skilllevel,0,0,20,大技能材料事件关卡,2个人组队进入战斗,2,5|1011|5|30#5|1012|5|25#5|1013|2|10#5|1014|2|5,0,event3_jpg,1|0,2,5
2004,3,wuqilevel,0,0,20,武器材料事件关卡,2个人组队进入战斗,2,5|2001|5|15#5|2002|5|15#5|2003|5|15#5|2004|5|15#5|2005|5|15#5|2006|5|15#5|2007|5|15#5|2008|5|15,0,event4_jpg,1|0,2,5
10001,5,jjclevel,0,0,28,竞技场,1V1的竞技PK，获胜者可以获得丰厚的奖励,2,1|0|5000|50#3|0|10|50,0,jjc_jpg,2|0,5,5
